indx,T,PE,rU,nSi,nC,nacc_insSi,nacc_delSi,nacc_insC,nacc_delC,GammaO,Eslab,EbulkAgO,EbulkO,Phi,A
219,,-2433.2884,,129,131,1,0,3,0,0,0,0,0,0,5
220,,-2433.3554,,129,131,1,0,3,0,0,0,0,0,0,5
221,,-2433.2962,,129,131,1,0,3,0,0,0,0,0,0,5
222,,-2433.222,,129,131,1,0,3,0,0,0,0,0,0,5
223,,-2433.1023,,129,131,1,0,3,0,0,0,0,0,0,5
224,,-2432.7777,,129,131,1,0,3,0,0,0,0,0,0,5
225,,-2432.5645,,129,131,1,0,3,0,0,0,0,0,0,5
226,,-2432.6737,,129,131,1,0,3,0,0,0,0,0,0,5
227,,-2432.4572,,129,131,1,0,3,0,0,0,0,0,0,5
228,,-2432.24,,129,131,1,0,3,0,0,0,0,0,0,5
229,,-2432.1518,,129,131,1,0,3,0,0,0,0,0,0,5
230,,-2432.2314,,129,131,1,0,3,0,0,0,0,0,0,5
231,,-2432.22,,129,131,1,0,3,0,0,0,0,0,0,5
232,,-2432.4033,,129,131,1,0,3,0,0,0,0,0,0,5
233,,-2432.5788,,129,131,1,0,3,0,0,0,0,0,0,5
234,,-2432.8616,,129,131,1,0,3,0,0,0,0,0,0,5
235,,-2433.1222,,129,131,1,0,3,0,0,0,0,0,0,5
236,,-2433.292,,129,131,1,0,3,0,0,0,0,0,0,5
237,,-2433.4459,,129,131,1,0,3,0,0,0,0,0,0,5
238,,-2433.7174,,129,131,1,0,3,0,0,0,0,0,0,5
239,,-2433.683,,129,131,1,0,3,0,0,0,0,0,0,5
240,,-2434.0311,,129,131,1,0,3,0,0,0,0,0,0,5
241,,-2434.2042,,129,131,1,0,3,0,0,0,0,0,0,5
242,,-2434.1418,,129,131,1,0,3,0,0,0,0,0,0,5
243,,-2433.7659,,129,131,1,0,3,0,0,0,0,0,0,5
244,,-2433.2486,,129,131,1,0,3,0,0,0,0,0,0,5
245,,-2433.1678,,129,131,1,0,3,0,0,0,0,0,0,5
246,,-2433.2132,,129,131,1,0,3,0,0,0,0,0,0,5
247,,-2432.9445,,129,131,1,0,3,0,0,0,0,0,0,5
248,,-2432.9717,,129,131,1,0,3,0,0,0,0,0,0,5
249,,-2433.2341,,129,131,1,0,3,0,0,0,0,0,0,5
250,,-2433.6222,,129,131,1,0,3,0,0,0,0,0,0,5
251,,-2434.092,,129,131,1,0,3,0,0,0,0,0,0,5
252,,-2434.4872,,129,131,1,0,3,0,0,0,0,0,0,5
253,,-2434.6574,,129,131,1,0,3,0,0,0,0,0,0,5
254,,-2434.8664,,129,131,1,0,3,0,0,0,0,0,0,5
255,,-2434.8227,,129,131,1,0,3,0,0,0,0,0,0,5
256,,-2434.5298,,129,131,1,0,3,0,0,0,0,0,0,5
257,,-2434.3468,,129,131,1,0,3,0,0,0,0,0,0,5
258,,-2433.9945,,129,131,1,0,3,0,0,0,0,0,0,5
259,,-2433.5443,,129,131,1,0,3,0,0,0,0,0,0,5
260,,-2433.1087,,129,131,1,0,3,0,0,0,0,0,0,5
261,,-2438.2937,,129,132,1,0,4,0,0,0,0,0,0,5
262,,-2438.3832,,129,132,1,0,4,0,0,0,0,0,0,5
263,,-2439.3896,,129,132,1,0,4,0,0,0,0,0,0,5
264,,-2439.4363,,129,132,1,0,4,0,0,0,0,0,0,5
265,,-2439.4429,,129,132,1,0,4,0,0,0,0,0,0,5
266,,-2439.7495,,129,132,1,0,4,0,0,0,0,0,0,5
267,,-2439.7694,,129,132,1,0,4,0,0,0,0,0,0,5
268,,-2440.0948,,129,132,1,0,4,0,0,0,0,0,0,5
269,,-2440.3415,,129,132,1,0,4,0,0,0,0,0,0,5
270,,-2440.5567,,129,132,1,0,4,0,0,0,0,0,0,5
271,,-2440.451,,129,132,1,0,4,0,0,0,0,0,0,5
272,,-2440.4672,,129,132,1,0,4,0,0,0,0,0,0,5
273,,-2440.4103,,129,132,1,0,4,0,0,0,0,0,0,5
274,,-2440.2458,,129,132,1,0,4,0,0,0,0,0,0,5
275,,-2440.1229,,129,132,1,0,4,0,0,0,0,0,0,5
276,,-2440.0167,,129,132,1,0,4,0,0,0,0,0,0,5
277,,-2440.0055,,129,132,1,0,4,0,0,0,0,0,0,5
278,,-2440.0853,,129,132,1,0,4,0,0,0,0,0,0,5
279,,-2440.4873,,129,132,1,0,4,0,0,0,0,0,0,5
280,,-2440.946,,129,132,1,0,4,0,0,0,0,0,0,5
281,,-2441.1236,,129,132,1,0,4,0,0,0,0,0,0,5
282,,-2440.8366,,129,132,1,0,4,0,0,0,0,0,0,5
283,,-2440.837,,129,132,1,0,4,0,0,0,0,0,0,5
284,,-2441.2206,,129,132,1,0,4,0,0,0,0,0,0,5
