indx,T,PE,rU,nSi,nC,nacc_insSi,nacc_delSi,nacc_insC,nacc_delC,GammaO,Eslab,EbulkAgO,EbulkO,Phi,A,redPot
310,412.75951,-471.89488,,36,35,0,2,0,3,,,,,,,-36.91642
311,420.82413,-471.91704,,36,35,0,2,0,3,,,,,,,-36.938575
312,422.08446,-471.86456,,36,35,0,2,0,3,,,,,,,-36.886092
313,418.60154,-471.75758,,36,35,0,2,0,3,,,,,,,-36.779115
314,417.51383,-471.66125,,36,35,0,2,0,3,,,,,,,-36.682782
315,422.14618,-471.60553,,36,35,0,2,0,3,,,,,,,-36.627069
316,432.42793,-471.59011,,36,35,0,2,0,3,,,,,,,-36.611642
317,446.57597,-471.60015,,36,35,0,2,0,3,,,,,,,-36.621685
318,459.48304,-471.59214,,36,35,0,2,0,3,,,,,,,-36.613672
319,469.74748,-471.55701,,36,35,0,2,0,3,,,,,,,-36.578551
320,482.16057,-471.54051,,36,35,0,2,0,3,,,,,,,-36.562045
321,494.34237,-471.52285,,36,35,0,2,0,3,,,,,,,-36.544381
322,504.27949,-471.48812,,36,35,0,2,0,3,,,,,,,-36.509659
323,513.77663,-471.45437,,36,35,0,2,0,3,,,,,,,-36.475906
324,524.13138,-471.43432,,36,35,0,2,0,3,,,,,,,-36.455852
325,534.81305,-471.42419,,36,35,0,2,0,3,,,,,,,-36.445721
326,545.43446,-471.42189,,36,35,0,2,0,3,,,,,,,-36.443424
327,553.5186,-471.40656,,36,35,0,2,0,3,,,,,,,-36.428091
328,554.43193,-471.3379,,36,35,0,2,0,3,,,,,,,-36.359434
329,546.55969,-471.20187,,36,35,0,2,0,3,,,,,,,-36.223401
330,535.75823,-471.05002,,36,35,0,2,0,3,,,,,,,-36.071552
331,527.17552,-470.92625,,36,35,0,2,0,3,,,,,,,-35.94779
332,522.25043,-470.84123,,36,35,0,2,0,3,,,,,,,-35.862763
333,522.56269,-470.80784,,36,35,0,2,0,3,,,,,,,-35.829371
334,529.34416,-470.8368,,36,35,0,2,0,3,,,,,,,-35.858339
335,544.15745,-470.94327,,36,35,0,2,0,3,,,,,,,-35.964802
336,567.69925,-471.13642,,36,35,0,2,0,3,,,,,,,-36.157957
337,598.4577,-471.40816,,36,35,0,2,0,3,,,,,,,-36.429695
338,630.82498,-471.71614,,36,35,0,2,0,3,,,,,,,-36.737675
339,659.38439,-472.02148,,36,35,0,2,0,3,,,,,,,-37.043013
340,679.10976,-472.28818,,36,35,0,2,0,3,,,,,,,-37.30972
341,685.12289,-472.47743,,36,35,0,2,0,3,,,,,,,-37.49897
342,674.81481,-472.5624,,36,35,0,2,0,3,,,,,,,-37.583932
343,652.57481,-472.57019,,36,35,0,2,0,3,,,,,,,-37.591725
344,624.34706,-472.5367,,36,35,0,2,0,3,,,,,,,-37.558231
345,595.75492,-472.49595,,36,35,0,2,0,3,,,,,,,-37.517486
346,570.43984,-472.46984,,36,35,0,2,0,3,,,,,,,-37.491373
347,549.04216,-472.45942,,36,35,0,2,0,3,,,,,,,-37.480959
348,530.92939,-472.45855,,36,35,0,2,0,3,,,,,,,-37.480081
349,516.02263,-472.46809,,36,35,0,2,0,3,,,,,,,-37.489622
350,506.24256,-472.50819,,36,35,0,2,0,3,,,,,,,-37.52973
351,500.87266,-472.57558,,36,35,0,2,0,3,,,,,,,-37.597117
352,498.30702,-472.65845,,36,35,0,2,0,3,,,,,,,-37.679981
353,498.52115,-472.75895,,36,35,0,2,0,3,,,,,,,-37.780488
354,499.91355,-472.86457,,36,35,0,2,0,3,,,,,,,-37.886102
355,501.96684,-472.97218,,36,35,0,2,0,3,,,,,,,-37.993719
356,503.60775,-473.07332,,36,35,0,2,0,3,,,,,,,-38.094856
357,503.76264,-473.15892,,36,35,0,2,0,3,,,,,,,-38.180455
